date,symbol,open,high,low,close,volume,change,changePercent,vwap,changeOverTime,label,unadjustedVolume,adjClose
2021-02-24,META,262.33,266.38,258.39,264.31,15736123,1.99,0.75477,262.8525,-0.024578366608849822,2021-02-24,15736123,264.31
2021-02-25,META,262.3,266.94,254.04,254.69,19053142,-7.61,-2.9,259.4925,-0.060080451710521565,2021-02-25,19053142,254.69
2021-02-26,META,256.47,265.55,256.47,257.62,26619517,1.15,0.4484,259.0275,-0.0492674465808024,2021-02-26,26619517,257.62
2021-03-01,META,260.82,266.65,257.9,264.91,22157300,4.09,1.57,262.57,-0.022364099346791178,2021-03-01,22157300,264.91
2021-03-02,META,265.78,266.71,258.65,259.0,15191722,-6.78,-2.55,262.535,-0.044174631878067805,2021-03-02,15191722,259.0
2021-03-03,META,260.29,260.99,255.1,255.41,15513515,-4.88,-1.87,257.9475,-0.05742333099605135,2021-03-03,15513515,255.41
2021-03-04,META,256.47,266.49,253.5,257.64,31626500,1.17,0.45619,258.525,-0.04919363767206719,2021-03-04,31626500,257.64
2021-03-05,META,260.67,265.45,255.61,264.28,26820100,3.61,1.38,261.5025,-0.0246890799719528,2021-03-05,26820100,264.28
2021-03-08,META,265.55,265.58,255.05,255.31,18391800,-10.24,-3.86,260.3725,-0.057792375539727714,2021-03-08,18391800,255.31
2021-03-09,META,261.18,268.53,259.81,265.74,22039740,4.56,1.75,263.815,-0.019301029634276934,2021-03-09,22039740,265.74
2021-03-10,META,268.64,268.97,262.87,264.9,14210318,-3.74,-1.39,266.345,-0.022401003801158947,2021-03-10,14210318,264.9
2021-03-11,META,268.11,277.9,267.82,273.88,21834000,5.77,2.15,271.9275,0.010739196220983738,2021-03-11,21834000,273.88
2021-03-12,META,269.14,269.74,264.02,268.4,20600200,-0.74,-0.27495,267.825,-0.009484444772484224,2021-03-12,20600200,268.4
2021-03-15,META,269.08,275.96,268.5,273.75,16856746,4.67,1.74,271.8225,0.010259438314204505,2021-03-15,16856746,273.75
2021-03-16,META,276.08,282.14,274.8,279.28,22437700,3.19,1.16,278.075,0.03066760157951043,2021-03-16,22437700,279.28
2021-03-17,META,275.71,286.23,275.41,284.01,21315044,8.31,3.01,280.34,0.048123408495405195,2021-03-17,21315044,284.01
2021-03-18,META,279.87,285.19,278.28,278.62,18754853,-1.25,-0.44664,280.49,0.028231907591246275,2021-03-18,18754853,278.62
2021-03-19,META,281.22,292.8,281.2,290.11,38930536,8.89,3.16,286.3325,0.07063512565966712,2021-03-19,38930536,290.11
2021-03-22,META,290.45,299.71,286.75,293.54,28273100,3.09,1.06,292.6125,0.08329335350776845,2021-03-22,28273100,293.54
2021-03-23,META,293.15,298.0,289.81,290.63,23000929,-2.52,-0.85963,292.8975,0.07255415728678449,2021-03-23,23000929,290.63
2021-03-24,META,291.0,291.72,281.16,282.14,18675046,-8.86,-3.04,286.505,0.041222275528656205,2021-03-24,18675046,282.14
2021-03-25,META,280.98,288.06,277.75,278.74,24505648,-2.24,-0.79721,281.3825,0.02867476104365796,2021-03-25,24505648,278.74
2021-03-26,META,278.3,284.5,277.77,283.02,17629200,4.72,1.7,280.8975,0.04446986751300863,2021-03-26,17629200,283.02
2021-03-29,META,285.77,293.18,284.7,290.82,21718831,5.05,1.77,288.6175,0.07325534191976968,2021-03-29,21718831,290.82
2021-03-30,META,289.83,292.47,286.7,288.0,17474537,-1.83,-0.6314,289.25,0.06284828578809454,2021-03-30,17474537,288.0
2021-03-31,META,289.99,296.5,288.61,294.53,19498200,4.54,1.57,292.4075,0.0869468944901648,2021-03-31,19498200,294.53
2021-04-01,META,298.4,302.4,296.6,298.66,17616000,0.26,0.08713137,299.015,0.10218843414400114,2021-04-01,17616000,298.66
2021-04-05,META,300.89,310.77,300.68,308.91,28237006,8.02,2.67,305.3125,0.14001549987083428,2021-04-05,28237006,308.91
2021-04-06,META,308.84,311.35,305.25,306.26,17335246,-2.58,-0.83538,307.925,0.130235819463409,2021-04-06,17335246,306.26
2021-04-07,META,306.34,314.25,305.5,313.09,22855241,6.75,2.2,309.795,0.1554415617965086,2021-04-07,22855241,313.09
2021-04-08,META,314.85,315.88,310.05,313.02,20894148,-1.83,-0.58123,313.45,0.15518323061593509,2021-04-08,20894148,313.02
2021-04-09,META,311.4,314.74,310.33,312.46,15988600,1.06,0.3404,312.2325,0.1531165811713473,2021-04-09,15988600,312.46
2021-04-12,META,311.05,312.15,307.93,311.54,10881935,0.49,0.15753,310.6675,0.14972137136952424,2021-04-12,10881935,311.54
